Problem size,Base_HIP-block_64,Base_Seq-default,RAJA_HIP-block_64
1728,23.8161,4.05739,23.6793
5832,76.4015,4.28896,76.1797
17576,118.946,4.35962,121.021
39304,125.284,4.38435,125.991
74088,140.587,4.38589,139.452
140608,145.176,4.40402,146.252
287496,146.625,4.4039,143.176
551368,148.237,4.40881,152.408
1124864,154.757,4.40316,154.998
1643032,155.324,4.4016,154.961
